[/player int32:0, float32:-4351.52, float32:3942.28, float32:3008.17, bool:false, float32:57520, float32:5207, float32:-298, float32:0, float32:0, float32:0]
[/player int32:0, float32:-4331.23, float32:3990.45, float32:3005.35, bool:false, float32:57520, float32:5229, float32:-269, float32:0, float32:0, float32:0]
[/player int32:0, float32:-4310.69, float32:4038.44, float32:3003.63, bool:false, float32:57520, float32:5248, float32:-242, float32:0, float32:0, float32:0]
[/player int32:0, float32:-4289.92, float32:4086.21, float32:3003, bool:false, float32:57520, float32:5265, float32:-217, float32:0, float32:0, float32:0]
[/player int32:0, float32:-4268.9, float32:4133.77, float32:3003.44, bool:false, float32:57520, float32:5280, float32:-196, float32:0, float32:0, float32:0]
[/player int32:0, float32:-4247.64, float32:4181.14, float32:3004.93, bool:false, float32:57520, float32:5294, float32:-176, float32:0, float32:0, float32:0]
[/player int32:0, float32:-4226.15, float32:4228.32, float32:3007.47, bool:false, float32:57527, float32:5453, float32:-27, float32:0, float32:0, float32:0]
[/player int32:0, float32:-4204.42, float32:4275.3, float32:3011.02, bool:false, float32:57563, float32:5648, float32:121, float32:0, float32:0, float32:0]
[/player int32:0, float32:-4182.82, float32:4322.57, float32:3015.43, bool:false, float32:57644, float32:5890, float32:270, float32:0, float32:0, float32:0]
[/player int32:0, float32:-4161.35, float32:4370.12, float32:3020.69, bool:false, float32:57757, float32:6170, float32:420, float32:0, float32:0, float32:0]
[/player int32:0, float32:-4140.01, float32:4417.96, float32:3026.78, bool:false, float32:57915, float32:6506, float32:569, float32:0, float32:0, float32:0]
[/player int32:0, float32:-4118.81, float32:4466.07, float32:3033.68, bool:false, float32:58103, float32:6880, float32:718, float32:0, float32:0, float32:0]
[/player int32:0, float32:-4097.93, float32:4514.05, float32:3041.33, bool:false, float32:58333, float32:7308, float32:867, float32:0, float32:0, float32:0]
[/player int32:0, float32:-4077.38, float32:4561.89, float32:3049.7, bool:false, float32:58600, float32:7794, float32:1016, float32:0, float32:0, float32:0]
[/player int32:0, float32:-4057.16, float32:4609.58, float32:3058.78, bool:false, float32:58888, float32:8320, float32:1165, float32:0, float32:0, float32:0]
[/player int32:0, float32:-4037.29, float32:4657.12, float32:3068.54, bool:false, float32:59204, float32:8908, float32:1314, float32:0, float32:0, float32:0]
[/player int32:0, float32:-4017.78, float32:4704.51, float32:3078.97, bool:false, float32:59537, float32:9541, float32:1463, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3998.64, float32:4751.75, float32:3090.06, bool:false, float32:59892, float32:10241, float32:1612, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3979.9, float32:4798.82, float32:3101.79, bool:false, float32:60254, float32:10663, float32:1761, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3961.69, float32:4845.73, float32:3114.38, bool:false, float32:60625, float32:11159, float32:1910, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3944.02, float32:4892.44, float32:3127.82, bool:false, float32:60999, float32:11706, float32:2059, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3926.91, float32:4938.95, float32:3142.1, bool:false, float32:61376, float32:12301, float32:2208, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3910.36, float32:4985.24, float32:3157.2, bool:false, float32:61753, float32:12925, float32:2357, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3894.36, float32:5031.29, float32:3173.12, bool:false, float32:62130, float32:13568, float32:2506, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3878.94, float32:5077.09, float32:3189.84, bool:false, float32:62507, float32:14228, float32:2655, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3864.09, float32:5122.63, float32:3207.35, bool:false, float32:62884, float32:14903, float32:2804, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3849.8, float32:5167.9, float32:3225.67, bool:false,float32:63253, float32:15579, float32:2953, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3836.07, float32:5212.9, float32:3244.77, bool:false, float32:63593, float32:16233, float32:3102, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3822.9, float32:5257.59, float32:3264.66, bool:false, float32:63888, float32:16850, float32:3251, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3810.27, float32:5301.98, float32:3285.33, bool:false, float32:64151, float32:17439, float32:3400, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3798.19, float32:5346.06, float32:3306.79, bool:false, float32:64369, float32:17983, float32:3549, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3786.64, float32:5389.8, float32:3329.03, bool:false, float32:64557, float32:18499, float32:3698, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3775.62, float32:5433.19, float32:3352.05, bool:false, float32:64703, float32:18970, float32:3847, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3765.12, float32:5476.2, float32:3375.84, bool:false, float32:64812, float32:19393, float32:3996, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3754.69, float32:5520.71, float32:3401.52, bool:false, float32:64906, float32:19811, float32:4145, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3745.01, float32:5563.79, float32:3427.42, bool:false, float32:64982, float32:20212, float32:4294, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3736, float32:5605.65, float32:3453.6, bool:false, float32:65061, float32:20679, float32:4443, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3725.41, float32:5657.18, float32:3487.44, bool:false, float32:65124, float32:21194, float32:4592, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3717.37, float32:5698.18, float32:3515.4, bool:false, float32:65185, float32:21754, float32:4592, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3709.66, float32:5739.41, float32:3544.62, bool:false, float32:65212, float32:22388, float32:4592, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3701.23, float32:5786.83, float32:3579.75, bool:false, float32:65199, float32:23073, float32:4592, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3694.5, float32:5826.58, float32:3610.32, bool:false, float32:65155, float32:23779, float32:4592, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3688.2, float32:5865.63, float32:3641.49, bool:false, float32:65085, float32:24512, float32:4592, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3681.87, float32:5906.96, float32:3675.81, bool:false, float32:64996, float32:25274, float32:4592, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3675.26, float32:5952.29, float32:3715.16, bool:false, float32:64911, float32:26027, float32:4443, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3669.91, float32:5990.78, float32:3749.86, bool:false, float32:64831, float32:26775, float32:4294, float32:0, float32:0, float32:0]
